match_num,bracket_slot_1,bracket_slot_2,team1,team2
73,Runner-up Group A,Runner-up Group B,RSA, CAN
74,Winner Group E,Best 3rd place Group A/B/C/D/F,GER, PAR
75,Winner Group F,Runner-up Group C,NED, MAR
76,Winner Group C,Runner-up Group F,BRA, JPN
77,Winner Group I,Best 3rd place Group C/D/F/G/H, FRA, SWE
78,Runner-up Group E,Runner-up Group I,CIV, NOR
79,Winner Group A,Best 3rd place Group C/E/F/H/I, MEX, ECU
80,Winner Group L,Best 3rd place Group E/H/I/J/K,ENG, DRC
81,Winner Group D,Best 3rd place Group B/E/F/I/J,USA, BIH
82,Winner Group G,Best 3rd place Group A/E/H/I/J,BEL, SEN
83,Runner-up Group K,Runner-up Group L,CRO, POR
84,Winner Group H,Runner-up Group J, ESP, AUT
85,Winner Group B,Best 3rd place Group E/F/G/I/J, SWI, ALG
86,Winner Group J,Runner-up Group H,ARG, CPV
87,Winner Group K,Best 3rd place Group D/E/I/J/L,GHA, COL
88,Runner-up Group D,Runner-up Group G, AUS, EGY
